14837KMSN MSN20050401110510404/01/05 11:05:31  5-MIN KMSN 011705Z 29005KT 10SM FEW065 BKN090 10/M01  A3005 740 47 400 290/05 RMK AO2
14837KMSN MSN20050401111010404/01/05 11:10:31  5-MIN KMSN 011710Z 29007KT 10SM SCT065 BKN090 11/M01  A3005 750 46 400 280/07 RMK AO2
14837KMSN MSN20050401111510404/01/05 11:15:31  5-MIN KMSN 011715Z 29007KT 10SM SCT070 BKN090 11/M01  A3005 750 46 400 290/07 RMK AO2
14837KMSN MSN20050401112010404/01/05 11:20:31  5-MIN KMSN 011720Z 26006KT 10SM FEW065 BKN090 11/M01  A3004 750 46 400 260/06 RMK AO2
14837KMSN MSN20050401112510404/01/05 11:25:31  5-MIN KMSN 011725Z 28007KT 10SM FEW065 SCT085 11/M01  A3004 750 46 400 280/07 RMK AO2
14837KMSN MSN20050401113009604/01/05 11:30:31  5-MIN KMSN 011730Z VRB06KT 10SM FEW065 11/M01 A3004 750 46 400 VRB/06 RMK AO2
14837KMSN MSN20050401113509604/01/05 11:35:31  5-MIN KMSN 011735Z 31005KT 10SM FEW065 11/M01 A3004 760 46 400 310/05 RMK AO2
14837KMSN MSN20050401114011304/01/05 11:40:31  5-MIN KMSN 011740Z 27009KT 250V320 10SM FEW090 11/M01  A3003 760 44 500 270/09 250V320 RMK AO2
14837KMSN MSN20050401114509304/01/05 11:45:31  5-MIN KMSN 011745Z 25006KT 10SM CLR 11/M01 A3003 760 42 500 250/06 RMK AO2
14837KMSN MSN20050401115014304/01/05 11:50:31  5-MIN KMSN 011750Z 29007KT 240V310 10SM CLR 12/00 A3002 770 44 600 290/07 240V310 RMK AO2 SLP172 T01170000 10117 21006 58006
14837KMSN MSN20050401115510404/01/05 11:55:31  5-MIN KMSN 011755Z 30007KT 10SM SCT045 BKN100 12/M01  A3002 770 42 600 300/07 RMK AO2
14837KMSN MSN20050401120010404/01/05 12:00:31  5-MIN KMSN 011800Z 28009KT 10SM SCT045 BKN100 12/M01  A3002 770 42 600 280/09 RMK AO2
14837KMSN MSN20050401120510404/01/05 12:05:31  5-MIN KMSN 011805Z 26008KT 10SM SCT045 BKN100 12/M01  A3002 770 41 600 260/08 RMK AO2
14837KMSN MSN20050401121010404/01/05 12:10:31  5-MIN KMSN 011810Z 30009KT 10SM SCT045 BKN100 12/M02  A3002 770 39 600 300/09 RMK AO2
14837KMSN MSN20050401121510404/01/05 12:15:31  5-MIN KMSN 011815Z 30009KT 10SM SCT045 BKN100 12/M01  A3002 770 41 600 300/09 RMK AO2
14837KMSN MSN20050401122010404/01/05 12:20:31  5-MIN KMSN 011820Z 29011KT 10SM SCT050 BKN100 12/M01  A3002 780 41 600 290/11 RMK AO2
14837KMSN MSN20050401122510404/01/05 12:25:31  5-MIN KMSN 011825Z 28009KT 10SM SCT050 BKN100 12/M01  A3001 780 41 600 280/09 RMK AO2
14837KMSN MSN20050401123010404/01/05 12:30:31  5-MIN KMSN 011830Z 27010KT 10SM SCT050 BKN100 12/M01  A3001 780 42 600 270/10 RMK AO2
14837KMSN MSN20050401123510404/01/05 12:35:31  5-MIN KMSN 011835Z 28009KT 10SM SCT050 BKN100 12/M01  A3001 780 42 600 280/09 RMK AO2
14837KMSN MSN20050401124010904/01/05 12:40:31  5-MIN KMSN 011840Z 29012G15KT 10SM SCT050 BKN100 12/M02 A3001 780 39 600 290/12G15 RMK AO2
14837KMSN MSN20050401124512504/01/05 12:45:31  5-MIN KMSN 011845Z 28009G15KT 240V310 10SM SCT050 BKN100 12/M02 A3001 780 38 600 280/09G15 240V310 RMK AO2
14837KMSN MSN20050401125012104/01/05 12:50:31  5-MIN KMSN 011850Z 29010KT 10SM SCT050 BKN100 12/M02  A3001 780 38 600 290/10 RMK AO2 SLP167 T01171022
14837KMSN MSN20050401125510904/01/05 12:55:31  5-MIN KMSN 011855Z 29012G17KT 10SM BKN047 BKN090 12/M02 A3001 790 38 600 290/12G17 RMK AO2
14837KMSN MSN20050401130010904/01/05 13:00:31  5-MIN KMSN 011900Z 29011G18KT 10SM BKN047 BKN090 12/M03 A3000 790 36 600 290/11G18 RMK AO2
14837KMSN MSN20050401130510904/01/05 13:05:31  5-MIN KMSN 011905Z 29009G18KT 10SM BKN047 BKN090 12/M03 A3000 790 35 600 290/09G18 RMK AO2
14837KMSN MSN20050401131010404/01/05 13:10:31  5-MIN KMSN 011910Z 30011KT 10SM BKN047 BKN090 12/M03  A3000 790 36 600 300/11 RMK AO2
14837KMSN MSN20050401131509604/01/05 13:15:31  5-MIN KMSN 011915Z 29012KT 10SM SCT090 11/M04 A3000 790 34 600 290/12 RMK AO2
14837KMSN MSN20050401132010904/01/05 13:20:31  5-MIN KMSN 011920Z 28012G17KT 10SM FEW060 SCT090 11/M04 A3000 790 33 600 280/12G17 RMK AO2
14837KMSN MSN20050401132510904/01/05 13:25:31  5-MIN KMSN 011925Z 29016G19KT 10SM FEW065 SCT090 12/M06 A3000 790 29 600 290/16G19 RMK AO2
14837KMSN MSN20050401133010304/01/05 13:30:31  5-MIN KMSN 011930Z 30011G19KT 10SM SCT060 12/M06 A3000  800 29 600 300/11G19 RMK AO2
14837KMSN MSN20050401133509604/01/05 13:35:31  5-MIN KMSN 011935Z 31012KT 10SM SCT060 12/M05 A2999 800 30 600 310/12 RMK AO2
14837KMSN MSN20050401134010304/01/05 13:40:31  5-MIN KMSN 011940Z 29013G19KT 10SM FEW060 12/M05 A2999  800 30 600 290/13G19 RMK AO2
14837KMSN MSN20050401134510304/01/05 13:45:31  5-MIN KMSN 011945Z 32016G20KT 10SM FEW060 11/M06 A2999  800 30 600 310/16G20 RMK AO2
14837KMSN MSN20050401135012004/01/05 13:50:31  5-MIN KMSN 011950Z 31011G20KT 10SM BKN060 11/M06 A2999  800 31 500 310/11G20 RMK AO2 SLP160 T01061056
14837KMSN MSN20050401135510304/01/05 13:55:31  5-MIN KMSN 011955Z 30013G18KT 10SM BKN065 11/M06 A2999  800 31 500 300/13G18 RMK AO2
